,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
33,Sep-19,₦456.81,₦41.30,₦318.99,₦285.74,"₦1,021.84","₦1,257.58",₦302.59,₦275.89,₦370.30,"₦1,709.80","₦1,002.53","₦1,499.70",₦670.87,₦874.72,"₦1,381.57",₦159.61,₦186.15,"₦1,901.64",₦154.55,₦172.23,₦557.51,₦913.41,₦268.57,₦921.47,₦141.75,₦142.19,₦978.23,"₦1,762.50",₦203.54,₦457.49,₦220.42,₦204.02,₦322.10,₦290.16,₦326.40,₦371.13,₦142.00,₦813.43,₦952.31,₦227.50,₦486.90,₦664.02,₦190.23
34,Oct-19,₦462.46,₦40.51,₦308.93,₦292.00,"₦1,025.69","₦1,281.59",₦296.56,₦278.66,₦371.89,"₦1,697.55","₦1,004.38","₦1,494.81",₦659.60,₦880.90,"₦1,397.91",₦159.51,₦187.44,"₦1,993.98",₦162.42,₦175.57,₦562.59,₦925.05,₦264.29,₦938.02,₦142.25,₦138.74,₦979.20,"₦1,741.27",₦202.88,₦464.70,₦208.69,₦200.11,₦340.27,₦303.69,₦339.78,₦382.57,₦138.46,₦815.55,₦956.75,₦233.38,₦502.34,₦675.30,₦179.75
35,Nov-19,₦463.91,₦41.18,₦307.30,₦284.65,"₦1,026.24","₦1,293.00",₦299.59,₦280.51,₦396.86,"₦1,723.23","₦1,027.76","₦1,501.28",₦686.71,₦893.00,"₦1,423.23",₦157.21,₦183.56,"₦2,008.39",₦160.06,₦181.32,₦580.03,₦956.79,₦289.23,₦951.67,₦149.63,₦151.65,"₦1,002.74","₦1,756.42",₦226.06,₦466.93,₦218.01,₦203.49,₦384.04,₦344.01,₦378.50,₦445.45,₦146.58,₦859.55,₦975.39,₦251.21,₦512.53,₦673.48,₦203.20
36,Dec-19,₦457.80,₦40.72,₦299.48,₦281.60,"₦1,045.86","₦1,292.52",₦304.06,₦277.79,₦406.94,"₦1,732.45","₦1,043.41","₦1,507.39",₦699.06,₦915.62,"₦1,444.94",₦157.89,₦184.80,"₦1,995.58",₦159.39,₦183.26,₦580.45,₦969.60,₦304.46,₦953.29,₦151.88,₦153.00,"₦1,010.99","₦1,774.96",₦240.55,₦469.43,₦213.04,₦204.30,₦390.18,₦345.94,₦381.68,₦459.90,₦147.46,₦884.07,₦981.21,₦263.90,₦516.29,₦676.20,₦206.82
37,Jan-20,₦454.17,₦40.17,₦285.61,₦268.80,"₦1,031.53","₦1,289.80",₦302.45,₦276.26,₦409.31,"₦1,720.55","₦1,025.13","₦1,502.48",₦685.98,₦909.31,"₦1,454.59",₦157.11,₦185.63,"₦1,983.14",₦159.64,₦182.19,₦571.88,₦964.40,₦281.09,₦946.05,₦148.86,₦149.62,"₦1,000.41","₦1,758.76",₦225.83,₦457.59,₦206.17,₦197.06,₦382.21,₦338.58,₦381.42,₦453.24,₦141.23,₦870.06,₦962.96,₦237.22,₦515.48,₦672.79,₦193.04
38,Feb-20,₦448.26,₦39.29,₦276.30,₦255.25,"₦1,035.38","₦1,279.60",₦303.06,₦275.20,₦404.32,"₦1,713.30","₦1,022.84","₦1,496.07",₦684.50,₦922.52,"₦1,440.71",₦150.54,₦183.81,"₦1,948.59",₦159.33,₦186.35,₦572.36,₦961.21,₦286.21,₦932.21,₦150.15,₦151.53,₦992.95,"₦1,764.13",₦231.60,₦457.31,₦207.82,₦201.83,₦377.69,₦334.11,₦373.16,₦444.04,₦141.34,₦863.29,₦948.14,₦241.78,₦520.95,₦668.01,₦189.53
39,Mar-20,₦461.15,₦39.90,₦267.81,₦241.74,"₦1,025.48","₦1,276.10",₦304.60,₦278.79,₦390.54,"₦1,711.32","₦1,027.30","₦1,501.97",₦691.70,₦920.52,"₦1,432.95",₦153.37,₦183.12,"₦1,941.04",₦164.60,₦192.41,₦583.22,₦960.69,₦301.24,₦928.27,₦150.78,₦150.97,₦991.44,"₦1,742.72",₦236.36,₦451.37,₦220.91,₦218.05,₦369.89,₦313.10,₦368.36,₦438.66,₦149.46,₦854.86,₦960.47,₦255.33,₦530.85,₦674.14,₦206.12
40,Apr-20,₦476.72,₦41.54,₦277.05,₦250.33,"₦1,047.12","₦1,307.68",₦316.55,₦288.45,₦408.05,"₦1,724.52","₦1,048.90","₦1,524.80",₦711.61,₦935.60,"₦1,447.58",₦160.98,₦190.17,"₦1,958.10",₦190.23,₦211.83,₦601.03,₦987.10,₦309.85,₦953.14,₦165.83,₦166.42,"₦1,004.18","₦1,762.88",₦227.59,₦464.08,₦236.49,₦230.20,₦393.34,₦342.49,₦394.56,₦471.84,₦153.89,₦870.49,₦986.88,₦277.00,₦551.92,₦692.60,₦230.09
41,May-20,₦462.46,₦40.84,₦277.49,₦251.43,"₦1,053.47","₦1,306.47",₦315.00,₦285.17,₦405.58,"₦1,709.24","₦1,044.13","₦1,523.47",₦701.66,₦929.24,"₦1,445.67",₦161.16,₦190.00,"₦1,944.56",₦196.16,₦222.25,₦601.14,₦994.47,₦304.60,₦959.22,₦167.88,₦169.75,₦997.39,"₦1,751.08",₦221.40,₦463.50,₦226.36,₦218.81,₦389.77,₦344.91,₦392.54,₦463.21,₦154.62,₦860.95,"₦1,004.66",₦278.23,₦554.77,₦698.45,₦236.90
42,Jun-20,₦472.83,₦42.18,₦289.89,₦259.39,"₦1,069.85","₦1,317.04",₦320.10,₦284.51,₦420.31,"₦1,722.18","₦1,058.90","₦1,529.88",₦712.19,₦948.24,"₦1,455.32",₦162.85,₦191.71,"₦1,950.47",₦214.73,₦241.58,₦620.31,"₦1,008.23",₦324.81,₦976.99,₦178.26,₦181.90,"₦1,005.84","₦1,744.34",₦233.24,₦473.75,₦245.86,₦238.58,₦394.57,₦347.54,₦400.73,₦479.74,₦171.94,₦872.94,"₦1,018.79",₦294.46,₦568.50,₦707.31,₦250.70
43,Jul-20,₦474.12,₦42.45,₦300.26,₦268.38,"₦1,075.68","₦1,330.83",₦318.56,₦287.74,₦426.36,"₦1,677.22","₦1,061.25","₦1,536.03",₦715.89,₦953.89,"₦1,466.13",₦163.74,₦193.03,"₦1,955.54",₦222.47,₦255.10,₦623.09,"₦1,005.46",₦328.07,₦989.44,₦190.00,₦191.64,"₦1,009.02","₦1,743.76",₦238.65,₦486.25,₦245.04,₦237.18,₦405.97,₦362.97,₦410.69,₦490.44,₦177.17,₦872.74,"₦1,021.08",₦304.01,₦576.89,₦712.95,₦256.44
44,Aug-20,₦478.97,₦42.78,₦305.43,₦274.80,"₦1,064.27","₦1,339.74",₦312.74,₦283.97,₦429.81,"₦1,711.18","₦1,056.58","₦1,526.12",₦724.19,₦940.13,"₦1,466.66",₦162.23,₦194.11,"₦1,948.12",₦224.53,₦253.02,₦626.69,"₦1,005.58",₦320.45,₦997.01,₦189.53,₦192.43,"₦1,002.45","₦1,742.48",₦241.97,₦499.67,₦242.78,₦233.50,₦413.13,₦375.08,₦415.43,₦501.71,₦173.11,₦855.50,"₦1,022.70",₦289.86,₦583.76,₦718.39,₦256.06
45,Sep-20,₦480.76,₦42.90,₦312.66,₦284.87,"₦1,070.44","₦1,351.66",₦318.11,₦291.04,₦442.77,"₦1,718.53","₦1,053.62","₦1,529.47",₦715.44,₦962.13,"₦1,477.56",₦163.80,₦195.58,"₦1,931.95",₦235.77,₦263.57,₦633.39,"₦1,022.67",₦309.10,"₦1,004.58",₦196.98,₦201.33,"₦1,006.22","₦1,751.89",₦244.75,₦505.32,₦244.37,₦236.28,₦425.79,₦390.68,₦423.04,₦516.13,₦165.30,₦858.54,"₦1,032.75",₦286.92,₦589.28,₦730.23,₦245.62
46,Oct-20,₦487.81,₦43.72,₦326.88,₦300.37,"₦1,083.35","₦1,380.14",₦322.61,₦298.73,₦452.21,"₦1,728.81","₦1,063.50","₦1,535.50",₦720.50,₦972.26,"₦1,479.87",₦164.35,₦195.03,"₦1,932.96",₦244.96,₦275.01,₦646.04,"₦1,028.48",₦318.96,"₦1,015.06",₦202.24,₦204.73,"₦1,016.97","₦1,760.90",₦270.60,₦515.26,₦240.64,₦225.83,₦434.41,₦400.47,₦434.96,₦530.32,₦163.51,₦869.77,"₦1,051.36",₦307.63,₦602.96,₦740.89,₦242.87
47,Nov-20,₦494.72,₦44.75,₦334.66,₦308.36,"₦1,081.17","₦1,393.77",₦328.52,₦307.01,₦462.55,"₦1,725.47","₦1,066.15","₦1,537.30",₦729.14,₦978.41,"₦1,479.84",₦166.06,₦197.45,"₦1,936.97",₦241.25,₦268.05,₦656.76,"₦1,014.92",₦319.48,"₦1,028.03",₦204.95,₦204.38,"₦1,021.72","₦1,750.96",₦379.39,₦542.85,₦238.94,₦216.19,₦450.09,₦404.61,₦444.94,₦549.98,₦160.89,₦869.15,"₦1,052.31",₦316.16,₦630.86,₦749.99,₦236.25
48,Dec-20,₦499.55,₦45.40,₦336.24,₦309.07,"₦1,083.14","₦1,405.72",₦327.17,₦304.51,₦467.64,"₦1,728.47","₦1,068.19","₦1,534.92",₦729.50,₦977.67,"₦1,482.61",₦167.48,₦196.70,"₦1,939.17",₦238.65,₦263.27,₦664.78,"₦1,011.83",₦320.01,"₦1,030.59",₦205.63,₦207.51,"₦1,025.40","₦1,749.89",₦372.25,₦552.22,₦233.84,₦213.48,₦448.71,₦405.64,₦443.03,₦550.94,₦154.98,₦868.87,"₦1,057.97",₦310.10,₦639.88,₦749.80,₦233.48
49,Jan-21,₦510.84,₦46.21,₦337.09,₦316.92,"₦1,091.82","₦1,421.14",₦327.96,₦306.74,₦465.64,"₦1,726.21","₦1,069.52","₦1,536.50",₦729.71,₦967.46,"₦1,479.84",₦169.61,₦197.39,"₦1,927.54",₦243.76,₦265.55,₦672.42,"₦1,021.00",₦325.13,"₦1,031.11",₦210.74,₦214.68,"₦1,023.35","₦1,758.18",₦356.29,₦564.31,₦230.32,₦212.35,₦448.70,₦401.41,₦442.17,₦551.57,₦148.32,₦868.65,"₦1,066.88",₦289.66,₦654.79,₦757.97,₦234.67
50,Feb-21,₦518.30,₦47.35,₦351.68,₦331.48,"₦1,113.39","₦1,435.87",₦326.61,₦308.07,₦462.42,"₦1,728.66","₦1,073.34","₦1,532.05",₦754.58,₦979.29,"₦1,512.67",₦172.35,₦195.20,"₦1,919.18",₦259.59,₦282.79,₦676.87,"₦1,042.66",₦319.25,"₦1,030.64",₦222.86,₦229.76,"₦1,038.13","₦1,753.09",₦297.83,₦585.01,₦237.04,₦221.08,₦442.09,₦391.01,₦444.17,₦537.37,₦145.86,₦891.21,"₦1,062.07",₦269.18,₦667.43,₦758.55,₦242.82
51,Mar-21,₦524.47,₦48.43,₦368.98,₦346.38,"₦1,130.80","₦1,456.03",₦332.30,₦310.19,₦466.30,"₦1,723.52","₦1,084.84","₦1,532.21",₦765.80,₦992.30,"₦1,513.44",₦172.92,₦197.51,"₦1,926.86",₦274.03,₦293.97,₦667.67,"₦1,047.03",₦316.05,"₦1,034.27",₦233.92,₦237.60,"₦1,043.24","₦1,755.92",₦285.23,₦578.17,₦243.13,₦228.18,₦443.23,₦393.92,₦443.36,₦544.21,₦152.53,₦911.83,"₦1,069.28",₦267.45,₦668.33,₦766.11,₦244.82
52,Apr-21,₦530.40,₦49.14,₦378.82,₦359.64,"₦1,145.32","₦1,481.24",₦332.95,₦306.16,₦472.19,"₦1,735.54","₦1,097.61","₦1,539.67",₦784.04,"₦1,003.54","₦1,499.99",₦176.43,₦199.20,"₦1,928.22",₦276.33,₦299.18,₦689.19,"₦1,059.10",₦312.37,"₦1,053.54",₦233.48,₦238.52,"₦1,044.44","₦1,743.40",₦294.84,₦578.86,₦253.02,₦243.37,₦442.39,₦399.07,₦441.85,₦540.58,₦157.76,₦910.30,"₦1,091.20",₦277.26,₦672.70,₦770.58,₦252.80
53,May-21,₦541.53,₦49.99,₦439.22,₦407.23,"₦1,173.05","₦1,513.43",₦337.83,₦310.81,₦470.16,"₦1,755.26","₦1,116.02","₦1,550.99",₦801.03,"₦1,026.76","₦1,515.16",₦176.89,₦201.65,"₦1,944.80",₦301.88,₦318.70,₦703.36,"₦1,076.34",₦325.15,"₦1,083.71",₦248.86,₦256.28,"₦1,063.85","₦1,769.93",₦307.53,₦593.36,₦265.66,₦256.13,₦445.23,₦397.80,₦441.49,₦544.09,₦172.63,₦927.54,"₦1,115.80",₦303.51,₦686.67,₦785.87,₦269.98
54,Jun-21,₦556.47,₦51.22,₦471.24,₦431.79,"₦1,220.33","₦1,567.26",₦355.78,₦324.03,₦472.07,"₦1,773.60","₦1,140.68","₦1,566.60",₦809.24,"₦1,042.61","₦1,540.76",₦180.07,₦207.68,"₦1,982.87",₦324.26,₦338.99,₦728.43,"₦1,106.05",₦356.44,"₦1,117.21",₦262.80,₦271.40,"₦1,087.71","₦1,778.91",₦315.63,₦609.21,₦273.07,₦269.17,₦449.42,₦401.82,₦447.62,₦557.98,₦191.27,₦949.72,"₦1,151.08",₦335.46,₦712.95,₦803.90,₦287.54
55,Jul-21,₦577.55,₦52.73,₦485.44,₦444.21,"₦1,262.10","₦1,660.76",₦361.11,₦335.67,₦477.08,"₦1,837.44","₦1,174.02","₦1,592.90",₦819.03,"₦1,080.13","₦1,575.11",₦184.48,₦209.48,"₦2,049.66",₦329.20,₦347.70,₦768.81,"₦1,161.01",₦380.21,"₦1,201.57",₦275.82,₦280.63,"₦1,815.27","₦1,144.76",₦322.08,₦635.31,₦296.05,₦277.73,₦462.35,₦411.97,₦456.00,₦552.80,₦199.86,"₦1,017.38","₦1,327.44",₦414.83,₦739.32,₦830.60,₦308.72
56,Aug-21,₦585.64,₦53.20,₦496.03,₦457.98,"₦1,274.20","₦1,698.18",₦366.69,₦342.78,₦477.39,"₦1,868.95","₦1,204.60","₦1,603.89",₦830.17,"₦1,109.63","₦1,593.15",₦187.54,₦213.09,"₦2,091.34",₦323.01,₦341.81,₦812.70,"₦1,195.15",₦366.63,"₦1,249.86",₦270.79,₦275.28,"₦1,175.81","₦1,833.68",₦302.88,₦668.71,₦290.96,₦270.70,₦468.77,₦409.97,₦460.33,₦546.71,₦195.87,"₦1,051.63","₦1,375.61",₦396.38,₦769.45,₦869.64,₦305.48
57,Sep-21,₦604.99,₦54.62,₦492.13,₦461.59,"₦1,320.73","₦1,768.14",₦384.73,₦351.95,₦473.75,"₦1,879.83","₦1,232.25","₦1,599.30",₦849.92,"₦1,125.99","₦1,596.24",₦187.31,₦216.71,"₦2,109.81",₦301.58,₦322.44,₦844.42,"₦1,208.67",₦358.63,"₦1,280.77",₦264.59,₦266.98,"₦1,191.93","₦1,844.74",₦298.94,₦709.50,₦284.90,₦256.22,₦463.04,₦410.01,₦454.28,₦546.77,₦192.07,"₦1,067.47","₦1,426.42",₦342.25,₦812.94,₦911.88,₦306.87
58,Oct-21,₦614.89,₦55.49,₦478.76,₦464.74,"₦1,339.77","₦1,768.78",₦382.77,₦359.60,₦475.54,"₦1,892.34","₦1,242.54","₦1,621.30",₦860.72,"₦1,144.01","₦1,604.24",₦189.77,₦217.52,"₦2,128.91",₦292.57,₦321.57,₦852.32,"₦1,209.04",₦367.85,"₦1,284.86",₦266.23,₦267.45,"₦1,189.15","₦1,851.16",₦306.07,₦727.21,₦287.89,₦261.59,₦465.64,₦415.03,₦463.38,₦553.23,₦192.14,"₦1,074.97","₦1,424.58",₦347.47,₦825.46,₦912.72,₦313.05
59,Nov-21,₦629.82,₦57.35,₦490.19,₦476.76,"₦1,366.24","₦1,812.03",₦404.20,₦366.46,₦480.65,"₦1,946.38","₦1,276.58","₦1,664.65",₦882.77,"₦1,179.82","₦1,636.80",₦195.70,₦234.93,"₦2,164.76",₦302.28,₦329.21,₦890.15,"₦1,236.35",₦403.68,"₦1,318.90",₦272.42,₦273.90,"₦1,219.44","₦1,898.13",₦340.99,₦775.11,₦284.47,₦260.72,₦469.53,₦421.02,₦476.67,₦568.75,₦202.25,"₦1,101.38","₦1,451.35",₦349.60,₦876.47,₦950.60,₦327.53
60,Dec-21,₦635.16,₦57.82,₦494.83,₦480.79,"₦1,385.96","₦1,846.39",₦407.97,₦372.06,₦480.23,"₦1,973.64","₦1,284.34","₦1,673.32",₦883.89,"₦1,197.57","₦1,647.57",₦199.31,₦234.80,"₦2,256.81",₦299.51,₦330.47,₦923.68,"₦1,250.06",₦414.84,"₦1,322.24",₦275.14,₦274.39,"₦1,243.91","₦1,927.89",₦346.96,₦795.57,₦285.62,₦261.15,₦476.44,₦424.62,₦477.03,₦571.62,₦214.44,"₦1,116.88","₦1,463.60",₦357.03,₦896.39,₦967.46,₦328.75
61,Jan-22,₦644.33,₦58.28,₦498.85,₦481.47,"₦1,415.77","₦1,864.70",₦418.65,₦383.51,₦486.70,"₦2,055.60","₦1,381.44","₦1,685.98",₦897.62,"₦1,209.62","₦1,664.33",₦201.61,₦239.21,"₦2,275.78",₦307.53,₦336.33,₦941.10,"₦1,275.90",₦429.80,"₦1,381.84",₦280.66,₦280.44,"₦1,256.25","₦2,305.65",₦368.10,₦805.45,₦288.51,₦262.51,₦480.53,₦430.21,₦477.33,₦579.16,₦217.78,"₦1,124.04","₦1,450.73",₦367.01,₦920.76,₦974.87,₦331.24
62,Feb-22,₦654.90,₦59.82,₦509.65,₦497.54,"₦1,440.70","₦1,919.52",₦438.03,₦400.83,₦496.57,"₦2,050.31","₦1,330.07","₦1,710.36",₦911.93,"₦1,222.77","₦1,703.59",₦205.13,₦245.28,"₦2,351.31",₦313.27,₦339.72,₦971.01,"₦1,298.02",₦430.54,"₦1,372.65",₦287.60,₦289.70,"₦1,282.31","₦1,983.75",₦378.26,₦825.51,₦292.54,₦268.52,₦492.81,₦436.58,₦487.43,₦594.80,₦227.23,"₦1,144.68","₦1,498.81",₦393.08,₦950.46,"₦1,021.66",₦339.76
63,Mar-31,₦668.96,₦61.58,₦530.10,₦505.94,"₦1,496.47","₦1,955.90",₦447.80,₦411.73,₦505.01,"₦2,090.01","₦1,341.04","₦1,733.69",₦919.11,"₦1,238.00","₦1,718.37",₦208.29,₦250.11,"₦2,381.19",₦317.33,₦338.69,₦994.62,"₦1,323.84",₦443.28,"₦1,391.50",₦297.43,₦298.50,"₦2,030.02","₦1,292.46",₦378.59,₦842.23,₦302.30,₦327.54,₦500.15,₦441.80,₦488.58,₦607.68,₦228.05,"₦1,161.34","₦1,526.95",₦409.96,₦970.29,"₦1,041.82",₦353.56
64,Apr-30,₦678.91,₦64.00,₦530.62,₦519.05,"₦1,508.08","₦2,026.85",₦450.51,₦412.25,₦513.50,"₦2,117.29","₦1,379.18","₦1,751.46",₦932.42,"₦1,250.07","₦1,730.64",₦216.77,₦253.85,"₦2,380.81",₦318.74,₦335.19,"₦1,007.68","₦1,337.70",₦448.38,"₦1,414.15",₦305.69,₦304.35,"₦1,305.07","₦2,041.14",₦380.94,₦842.75,₦306.75,₦337.47,₦504.20,₦440.26,₦494.88,₦612.25,₦227.74,"₦1,176.90","₦1,554.35",₦426.54,₦981.16,"₦1,047.74",₦361.20
65,May-31,₦689.61,₦65.65,₦536.91,₦524.70,"₦1,522.75","₦2,029.59",₦456.79,₦421.64,₦515.04,"₦2,221.63","₦1,389.70","₦1,764.56",₦936.86,"₦1,270.95","₦1,752.79",₦221.20,₦258.55,"₦2,415.53",₦326.85,₦344.69,"₦1,040.88","₦1,359.45",₦460.07,"₦1,430.90",₦314.75,₦312.51,"₦1,310.34","₦2,049.54",₦387.53,₦847.39,₦315.84,₦340.65,₦507.18,₦447.51,₦496.98,₦619.64,₦234.69,"₦1,182.76","₦1,571.75",₦423.48,₦996.25,"₦1,060.26",₦372.23
66,June-30,₦704.19,₦68.56,₦551.40,₦536.17,"₦1,570.79","₦2,079.93",₦472.47,₦434.50,₦527.73,"₦2,156.64","₦1,413.90","₦1,782.48",₦971.60,"₦1,292.39","₦1,778.74",₦226.41,₦266.77,"₦2,453.94",₦332.53,₦353.95,"₦1,062.90","₦1,394.99",₦473.77,"₦1,459.82",₦324.32,₦321.04,"₦1,336.31","₦2,086.98",₦393.32,₦870.90,₦325.92,₦302.93,₦510.02,₦488.68,₦511.94,₦636.20,₦247.91,"₦1,189.43","₦1,604.47",₦438.33,"₦1,018.26","₦1,087.09",₦384.48
