state,attacks,deaths,lat,lon
Abia,132,220,5.532003041,7.486002487
Adamawa,269,3750,10.2703408,13.2700321
Akwa Ibom,161,383,5.007996056,7.849998524
Anambra,204,473,6.210433572,7.06999711
Bauchi,89,342,11.68040977,10.19001339
Bayelsa,295,380,4.66403,6.036987
Benue,481,3376,7.190399596,8.129984089
Borno,1699,31676,10.62042279,12.18999467
Cross River,180,636,4.960406513,8.330023558
Delta,549,681,5.890427265,5.680004434
Ebonyi,154,498,6.25,8.0833
Edo,275,469,6.340477314,5.620008096
Ekiti,163,129,7.621111,5.221389
Enugu,126,210,6.867034321,7.383362995
Federal Capital Territory,221,443,9.083333149,7.533328002
Gombe,52,430,10.29044293,11.16995357
Imo,255,480,5.492997053,7.026003588
Jigawa,54,52,11.7991891,9.350334607
Kaduna,749,4666,11.0799813,7.710009724
Kano,99,434,11.99997683,8.5200378
Katsina,345,1770,11.5203937,7.320007689
Kebbi,30,203,12.45041445,4.199939737
Kogi,238,613,7.800388203,6.739939737
Kwara,137,228,8.490010192,4.549995889
Lagos,392,748,6.443261653,3.391531071
Nasarawa,193,1071,8.490423603,8.5200378
Niger,259,1786,10.4003587,5.469939737
Ogun,254,528,7.160427265,3.350017455
Ondo,275,328,7.250395934,5.199982054
Osun,166,167,7.629959329,4.179992634
Oyo,207,292,7.970016092,3.590002806
Plateau,384,2291,9.929973978,8.890041055
Rivers,531,1226,4.810002257,7.010000772
Sokoto,104,781,13.06001548,5.240031289
Taraba,291,1762,7.870409769,9.780012572
Yobe,152,2371,11.74899608,11.96600457
Zamfara,362,5343,12.1704057,6.659996296